spam,v2,v2clean,v2_clean,spam_clean,spam_clean_encoded
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",Go until jurong point crazy Available only in bugis n great world la e buffet Cine there got amore wat,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,jurong point crazy available bugis n great world la e buffet cine amore wat,"[1, 231, 446, 463, 937, 32, 48, 206, 938, 79, 1, 939, 1, 57]"
0,Ok lar... Joking wif u oni...,Ok lar Joking wif u oni,ok lar joking wif u oni,ok lar joke wif u oni,"[8, 196, 464, 291, 2, 1]"
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 Text FA to 87121 to receive entry questionstd txt rateTC's apply 08452810075over18's,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetc's apply 08452810075over18's,free entry 2 wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry questionstd txt ratetc apply 08452810075over18,"[10, 301, 3, 532, 660, 30, 1, 842, 425, 1, 1, 1, 18, 1, 1, 164, 301, 1, 22, 1, 232, 1]"
0,U dun say so early hor... U c already then say...,U dun say so early hor U c already then say,u dun say so early hor u c already then say,u dun early hor u c,"[2, 125, 149, 1, 2, 81]"
0,"Nah I don't think he goes to usf, he lives around here though",Nah I don't think he goes to usf he lives around here though,nah i don't think he goes to usf he lives around here though,nah think usf live,"[700, 20, 661, 130]"
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",FreeMsg Hey there darling it's been 3 week's now and no word back I'd like some fun you up for it still Tb ok XxX std chgs to send å150 to rcv,freemsg hey there darling it's been 3 week's now and no word back i'd like some fun you up for it still tb ok xxx std chgs to send å150 to rcv,freemsg hey darle 3 week word like fun tb ok xxx std chgs send å150 rcv,"[610, 56, 1, 93, 35, 122, 13, 241, 1, 8, 242, 763, 1, 12, 292, 1]"
0,Even my brother is not like to speak with me. They treat me like aids patent.,Even my brother is not like to speak with me They treat me like aids patent,even my brother is not like to speak with me they treat me like aids patent,brother like speak treat like aids patent,"[392, 13, 157, 409, 13, 1, 1]"
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per your request 'Melle Melle Oru Minnaminunginte Nurungu Vettam' has been set as your callertune for all Callers Press 9 to copy your friends Callertune,as per your request 'melle melle oru minnaminunginte nurungu vettam' has been set as your callertune for all callers press 9 to copy your friends callertune,request ' melle melle oru minnaminunginte nurungu vettam ' set callertune caller press 9 copy friend callertune,"[662, 86, 1, 1, 1, 1, 1, 1, 86, 359, 701, 426, 702, 255, 663, 62, 701]"
1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER As a valued network customer you have been selected to receivea å900 prize reward To claim call 09061701461 Claim code KL341 Valid 12 hours only,winner as a valued network customer you have been selected to receivea å900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,winner value network customer select receivea å900 prize reward claim 09061701461 claim code kl341 valid 12 hour,"[465, 447, 233, 117, 256, 1, 940, 68, 703, 46, 1, 46, 265, 1, 340, 533, 134]"
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more U R entitled to Update to the latest colour mobiles with camera for Free Call The Mobile Update Co FREE on 08002986030,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,mobile 11 month u r entitle update late colour mobile camera free mobile update co free 08002986030,"[31, 764, 172, 2, 27, 843, 327, 67, 341, 31, 207, 10, 31, 327, 844, 10, 1]"
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",I'm gonna be home soon and i don't want to talk about this stuff anymore tonight k I've cried enough today,i'm gonna be home soon and i don't want to talk about this stuff anymore tonight k i've cried enough today,home soon want talk stuff anymore tonight k cry today,"[23, 112, 14, 114, 154, 845, 115, 98, 941, 29]"
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",SIX chances to win CASH From 100 to 20000 pounds txt CSH11 and send to 87575 Cost 150pday 6days 16 TsandCs apply Reply HL 4 info,six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandc apply reply hl 4 info,"[183, 30, 89, 448, 1, 281, 22, 1, 12, 1, 190, 1, 1, 138, 1, 232, 25, 1, 6, 704]"
1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",URGENT You have won a 1 week FREE membership in our å100000 Prize Jackpot Txt the word CLAIM to No 81010 TC wwwdbuknet LCCLTD POBOX 4403LDNW1A7RW18,urgent you have won a 1 week free membership in our å100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,urgent win 1 week free membership å100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,"[109, 30, 77, 35, 10, 1, 1, 68, 1, 22, 122, 46, 1, 274, 1, 1, 466, 1]"
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,I've been searching for the right words to thank you for this breather I promise i wont take your help for granted and will fulfil my promise You have been wonderful and a blessing at all times,i've been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,search right word thank breather promise help grant fulfil promise wonderful blessing time,"[360, 69, 122, 66, 1, 564, 119, 1, 1, 564, 500, 1, 16]"
0,I HAVE A DATE ON SUNDAY WITH WILL!!,I HAVE A DATE ON SUNDAY WITH WILL,i have a date on sunday with will,date sunday,"[197, 846]"
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",XXXMobileMovieClub To use your credit click the WAP link in the next txt message or click here httpwap xxxmobilemovieclubcomnQJKGIGHJJGCBL,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,xxxmobilemovieclub use credit click wap link txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,"[1, 158, 293, 942, 705, 664, 22, 60, 942, 1, 1]"
0,Oh k...i'm watching here:),Oh ki'm watching here,oh ki'm watching here,oh ki'm watch,"[55, 1, 104]"
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Eh u remember how 2 spell his name Yes i did He v naughty make until i v wet,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,eh u remember 2 spell yes v naughty v wet,"[611, 2, 226, 3, 1, 75, 132, 1, 132, 1]"
0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,Fine if thatåÕs the way u feel ThatåÕs the way its gota b,fine if thatåõs the way u feel thatåõs the way its gota b,fine thatåõs way u feel thatåõs way gota b,"[155, 1, 65, 2, 64, 1, 65, 1, 110]"
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",England v Macedonia  dont miss the goalsteam news Txt ur national team to 87077 eg ENGLAND to 87077 TryWALES SCOTLAND 4txtÌ¼120 POBOXox36504W45WQ 16,england v macedonia  dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16,england v macedonia   miss goalsteam news txt ur national team 87077 eg england 87077 trywale scotland 4txtì¼120 poboxox36504w45wq 16,"[706, 132, 1, 42, 1, 449, 22, 4, 612, 943, 847, 613, 706, 847, 1, 1, 1, 1, 138]"
0,Is that seriously how you spell his name?,Is that seriously how you spell his name,is that seriously how you spell his name,seriously spell,"[765, 1]"
0,IÛ÷m going to try for 2 months ha ha only joking,IÛm going to try for 2 months ha ha only joking,iûm going to try for 2 months ha ha only joking,iûm try 2 month ha ha joke,"[1, 49, 3, 172, 467, 467, 464]"
0,So Ì_ pay first lar... Then when is da stock comin...,So Ì pay first lar Then when is da stock comin,so ì pay first lar then when is da stock comin,ì pay lar da stock comin,"[43, 150, 196, 39, 1, 665]"
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Aft i finish my lunch then i go str down lor Ard 3 smth lor U finish ur lunch already,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,aft finish lunch str lor ard 3 smth lor u finish ur lunch,"[410, 106, 159, 1, 24, 370, 93, 468, 24, 2, 106, 4, 159]"
0,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff Alright no way I can meet up with you sooner,ffffffffff alright no way i can meet up with you sooner,ffffffffff alright way meet soon,"[1, 342, 65, 50, 112]"
